30,1.89
35,1.66
40,1.46
45,1.31
50,1.19
55,1.084
60,0.985
65,0.907
70,0.85
75,0.792
80,0.753
85,0.715
90,0.673
95,0.654
100,0.619
105,0.599
110,0.565
115,0.543
120,0.527
